CanonicalKey,Customer,Route,Vehicle,LineType,BillingType,ActiveRate,ActiveSource,HistoricalRate,HistoricalSource,Evidence,Action
"JDL|RIYADH->HOFUF->DAMMAN|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","RIYADH → DAMMAN","6.5M-10TON","ROUND_TRIP","EXTRA",1220,"Primary Row 24",22995,"Sheet JDL Row 65","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH->HOFUF->DAMMAN|20 TON|13.5M-20TON|ROUND_TRIP|EXTRA","JDL","RIYADH → DAMMAN","13.5M-20TON","ROUND_TRIP","EXTRA",1650,"Primary Row 25",39500,"Sheet JDL Row 65","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH->BURAYDAH->HAIL|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","RIYADH → HAIL","6.5M-10TON","ROUND_TRIP","EXTRA",1400,"Primary Row 33",21330,"Sheet JDL Row 67","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH->BURAYDAH->HAIL|20 TON|13.5M-20TON|ROUND_TRIP|EXTRA","JDL","RIYADH → HAIL","13.5M-20TON","ROUND_TRIP","EXTRA",2900,"Primary Row 34",63000,"Sheet JDL Row 67","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|DAMMAN->HOFUF->RIYADH|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","DAMMAN → RIYADH","6.5M-10TON","ROUND_TRIP","EXTRA",990,"Primary Row 48",22995,"Sheet JDL Row 70","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|DAMMAN->HOFUF->RIYADH|20 TON|13.5M-20TON|ROUND_TRIP|EXTRA","JDL","DAMMAN → RIYADH","13.5M-20TON","ROUND_TRIP","EXTRA",1650,"Primary Row 49",39500,"Sheet JDL Row 70","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH SORTING CENTER->MADINA->YANBU|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","RIYADH SORTING CENTER → YANBU","5M-5TON","ROUND_TRIP","EXTRA",1500,"Primary Row 59",22000,"Sheet JDL Row 73","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|RIYADH SORTING CENTER->MADINA->YANBU|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","RIYADH SORTING CENTER → YANBU","6.5M-10TON","ROUND_TRIP","EXTRA",2100,"Primary Row 60",26055,"Sheet JDL Row 73","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|JEDDAH SORTING CENTER->MAKKAH->TAIF|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","JEDDAH SORTING CENTER → TAIF","5M-5TON","ROUND_TRIP","EXTRA",590,"Primary Row 68",15000,"Sheet JDL Row 76","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|JEDDAH SORTING CENTER->MAKKAH->TAIF|10 TON|6.5M-10TON|ROUND_TRIP|EXTRA","JDL","JEDDAH SORTING CENTER → TAIF","6.5M-10TON","ROUND_TRIP","EXTRA",1190,"Primary Row 69",17995,"Sheet JDL Row 76","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
"JDL|JEDDAH SORTING CENTER->YANBU->MADINA|5 TON|5M-5TON|ROUND_TRIP|EXTRA","JDL","JEDDAH SORTING CENTER → MADINA","5M-5TON","ROUND_TRIP","EXTRA",895,"Primary Row 77",20900,"Sheet JDL Row 79","Operational import sheet rate supercedes older quotation matrix rate","ACTIVE_CANDIDATE selected from operational sheet; reference workbook rate categorized HISTORICAL"
