Customer,Route,VehicleClass,SourceVehicleLabel,LineType,BillingType,PricingBasis,Rate,Currency,ValidFrom,ValidTo,SourceReference,Status
"JDL","RIYADH SORTING CENTER → RIYADH STATION (SULAY/TUWAIQ/AZIZYAH/ALKHARJ)","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",310,"SAR","","","Primary Row 2","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → RIYADH STATION (SULAY/TUWAIQ/AZIZYAH/ALKHARJ)","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",320,"SAR","","","Primary Row 3","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → RIYADH STATION (SULAY/TUWAIQ/AZIZYAH/ALKHARJ)","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",360,"SAR","","","Primary Row 4","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → DUWADIMI","3-4 TON","3TON/4TON","ROUND_TRIP","EXTRA","",685,"SAR","","","Primary Row 5","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → DUWADIMI","5 TON","5M-5TON","ROUND_TRIP","EXTRA","",695,"SAR","","","Primary Row 6","ACTIVE_CANDIDATE"
"JDL","RIYADH SORTING CENTER → DUWADIMI","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",950,"SAR","","","Primary Row 7","ACTIVE_CANDIDATE"
"JDL","RUH AIRPORT → RIYADH SORTING CENTER","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",370,"SAR","","","Primary Row 8","ACTIVE_CANDIDATE"
"JDL","RUH AIRPORT → RIYADH SORTING CENTER","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",950,"SAR","","","Primary Row 9","ACTIVE_CANDIDATE"
"JDL","RUH AIRPORT → RIYADH SORTING CENTER (ROUND)","10 TON","6.5M-10TON","ROUND_TRIP","EXTRA","",450,"SAR","","","Primary Row 10","ACTIVE_CANDIDATE"
"JDL","RUH AIRPORT → RIYADH SORTING CENTER (ROUND)","20 TON","13.5M-20TON","ROUND_TRIP","EXTRA","",1450,"SAR","","","Primary Row 11","ACTIVE_CANDIDATE"
